commit	val_fid	memory_gb	status	description
f3bb5e2	56.7443	6.6	discard	depth=8 lr=5e-4 dbs=32
f3bb5e2	61.0249	8.3	discard	depth=10 lr=5e-4
f3bb5e2	64.1657	6.6	discard	depth=8 lr=6e-4
f3bb5e2	63.9846	4.1	discard	depth=8 lr=5e-4 n_embd=512 (narrower=worse)
9468c42	49.9212	6.6	keep	depth=8 lr=7e-4 beta2=0.95 (BEST! round 6)
9468c42	51.8151	6.6	keep	depth=8 lr=5e-4 beta2=0.95 weight_decay=0.01
9468c42	52.0494	6.6	discard	depth=8 lr=5e-4 beta2=0.95 beta1=0.85
9468c42	52.1839	6.6	discard	depth=8 lr=5e-4 beta2=0.95 warmdown=0.15
9468c42	52.5227	6.6	discard	depth=8 lr=5e-4 beta2=0.95 warmup=0.05 warmdown=0.1
9468c42	52.7001	8.3	discard	depth=10 lr=5e-4 beta2=0.95
9468c42	53.3260	6.6	discard	depth=8 lr=5e-4 beta2=0.85
f3bb5e2	54.7291	7.5	discard	SwiGLU depth=8 lr=5e-4 beta2=0.95 (worse than GELU)
f3bb5e2	49.0283	6.8	keep	depth=8 lr=8e-4 beta2=0.95 (BEST! round 7)
f3bb5e2	49.7274	6.8	keep	depth=8 lr=7e-4 beta2=0.95 beta1=0.85
f3bb5e2	49.7657	6.8	keep	depth=8 lr=7e-4 beta2=0.95 warmup=0.05
f3bb5e2	49.7695	6.8	keep	depth=8 lr=7e-4 beta2=0.95 warmdown=0.15
f3bb5e2	50.4912	8.4	discard	depth=10 lr=7e-4 beta2=0.95
f3bb5e2	50.5126	6.8	discard	depth=8 lr=7e-4 beta2=0.95 wd=0.01
f3bb5e2	51.0608	6.8	discard	depth=8 lr=7e-4 beta2=0.90
964387a	49.3580	22.4	keep	depth=8 lr=8e-4 beta2=0.95 wd=0.05 (R8, I/O contention)
964387a	50.1104	22.4	discard	depth=8 lr=1e-3 beta2=0.95 (R8)
964387a	50.1785	22.4	discard	depth=8 lr=9e-4 beta2=0.95 (R8)
964387a	50.7567	22.4	discard	depth=8 lr=8e-4 beta2=0.95 beta1=0.85 (R8)
964387a	50.8606	22.4	discard	depth=8 lr=8e-4 beta2=0.95 warmup=0.05 (R8)
964387a	50.9554	22.4	discard	depth=8 lr=8e-4 beta2=0.95 wu+wd (R8)
964387a	51.4935	22.4	discard	depth=8 lr=8e-4 beta2=0.90 (R8)
964387a	51.5686	22.4	discard	depth=8 lr=8e-4 beta2=0.95 warmdown=0.15 (R8)
5450f3b	50.3522	22.4	discard	depth=8 lr=8e-4 beta2=0.95 grad_clip=1.0 (R9)
5450f3b	288.1386	22.4	discard	depth=8 lr=8e-4 beta2=0.95 ema=0.9999+gc=1.0 (EMA broken)
5450f3b	299.4541	22.4	discard	depth=8 lr=8e-4 beta2=0.95 ema=0.9999 (EMA 27% init wts)
5450f3b	320.1337	22.4	discard	depth=8 lr=1e-3 beta2=0.95 ema=0.9999 (EMA too slow)
5450f3b	50.6601	22.4	discard	depth=8 lr=8e-4 beta2=0.95 baseline (R9b, 4GPU contention)
5450f3b	50.9400	22.8	discard	depth=8 lr=8e-4 beta2=0.95 ema=0.99 (R9b)
5450f3b	51.5344	22.8	discard	depth=8 lr=8e-4 beta2=0.95 ema=0.999 (R9b)
5450f3b	55.2036	22.8	discard	depth=8 lr=8e-4 beta2=0.95 ema=0.9995 (R9b)
6b30aa9	49.7998	22.4	keep	depth=8 lr=8e-4 beta2=0.95 linear (R10 baseline)
6b30aa9	52.0244	22.4	discard	depth=8 lr=1e-3 beta2=0.95 cosine+gc1.0 (R10)
6b30aa9	52.0505	22.4	discard	depth=8 lr=1e-3 beta2=0.95 cosine (R10)
6b30aa9	52.9452	22.4	discard	depth=8 lr=8e-4 beta2=0.95 cosine (R10)
6b30aa9	49.3322	11.8	keep	depth=8 lr=8e-4 beta2=0.95 bs=128 (R11, 24k steps!)
6b30aa9	50.6680	22.4	discard	depth=8 lr=8e-4 beta2=0.95 warmdown=0.2 (R11)
6b30aa9	51.0340	22.4	discard	depth=8 lr=8e-4 beta2=0.95 warmdown=0.1 (R11)
6b30aa9	51.8928	22.4	discard	depth=8 lr=8e-4 beta2=0.95 wd=0.2+wu=0.05 (R11)
5732463	49.5366	11.8	keep	depth=8 lr=1e-3 beta2=0.95 bs=128 (R12)
5732463	50.1762	11.8	discard	depth=8 lr=6e-4 beta2=0.95 bs=128 (R12)
5732463	50.4650	11.8	discard	depth=8 lr=5e-4 beta2=0.95 bs=128 (R12)
5732463	51.0047	6.1	discard	depth=8 lr=8e-4 beta2=0.95 bs=64 (R12, too noisy)
a0fe8d4	317.5219	1.0	discard	1.5-SPSA d2 lr=1e-3 np=100 bs=32 T=20 denoising (R13)
a0fe8d4	321.7255	1.0	discard	1.5-SPSA d2 lr=5e-3 np=100 bs=32 T=20 denoising (R13)
a0fe8d4	338.4304	1.0	discard	1.5-SPSA d2 lr=1e-2 np=100 bs=32 T=20 denoising (R13, lowest loss but worst FID)
a0fe8d4	316.8546	1.0	discard	1.5-SPSA d4 lr=1e-3 np=100 bs=32 T=20 denoising (R13)
a0fe8d4	316.7010	1.0	discard	1.5-SPSA d4 lr=5e-3 np=100 bs=32 T=20 denoising (R13)
a0fe8d4	317.5023	1.0	discard	1.5-SPSA d2 lr=1e-3 np=100 bs=32 T=50 denoising (R13)
a0fe8d4	317.6195	1.0	discard	1.5-SPSA d2/384w lr=1e-3 np=100 bs=32 T=20 denoising (R13)
a0fe8d4	316.7620	1.0	discard	1.5-SPSA d4/384w lr=5e-3 np=100 bs=32 T=20 denoising (R13)
a0fe8d4	375.5920	1.0	discard	1.5-SPSA d1/384w lr=1e-2 np=100 bs=32 T=20 denoising (R14)
a0fe8d4	366.4449	1.0	discard	1.5-SPSA d1/384w lr=3e-2 np=100 bs=64 T=20 denoising (R14)
a0fe8d4	384.6778	1.0	discard	1.5-SPSA d1/384w lr=3e-2 np=100 bs=32 T=50 denoising (R14)
6698025	316.7957	0.6	discard	1.5-SPSA traj d2 lr=5e-4 np=100 bs=32 T=20 (R17)
6698025	316.9685	0.7	discard	1.5-SPSA traj d4 lr=5e-4 np=100 bs=32 T=20 (R17)
6698025	316.9231	0.6	discard	1.5-SPSA prog d2 lr=5e-4 np=100 bs=32 T=20 (R17)
6698025	316.7857	0.7	discard	1.5-SPSA prog d4 lr=5e-4 np=100 bs=32 T=20 (R17)
6698025	317.4063	0.6	discard	1.5-SPSA traj d2 lr=1e-3 np=100 bs=32 T=20 (R17)
6698025	317.0028	0.6	discard	1.5-SPSA prog d2 lr=1e-3 np=100 bs=32 T=20 (R17)
6698025	320.5877	0.6	discard	1.5-SPSA traj d2 lr=5e-3 np=100 bs=32 T=20 (R17, -31% loss but WORSE FID!)
6698025	318.2799	0.6	discard	1.5-SPSA prog d2 lr=5e-3 np=100 bs=32 T=20 (R17)
f336bab	0.000000	0.0	crash	1.5-SPSA d1/e64/p8 prog T=5 lr=1e-2 Xavier (R18 KILLED by competing process at step 750)
f336bab	0.000000	0.0	crash	1.5-SPSA d1/e128/p8 prog T=5 lr=1e-2 Xavier (R18 KILLED -34% loss in 813 steps!)
f336bab	0.000000	0.0	crash	1.5-SPSA d1/e64/p8 prog T=5 lr=2e-2 Xavier (R18 KILLED -25% loss in 827 steps!)
f336bab	0.000000	0.0	crash	1.5-SPSA d1/e64/p8 prog T=5 lr=1e-2 ZERO-INIT control (R18 only -0.9% loss = zero-init is broken)
f794969	316.9191	0.6	discard	1.5-SPSA d2 nozero lr=1e-2 np=100 T=20 denoising (R18b)
f794969	324.9465	0.6	discard	1.5-SPSA d2 nozero layerwise lr=1e-2 np=100 T=20 (R18b)
f794969	322.2716	0.6	discard	1.5-SPSA d2 nozero lr=1e-2 np=100 T=20 (R18b)
f794969	323.5478	0.6	discard	1.5-SPSA d2 nozero layerwise lr=1e-2 np=100 T=20 (R18b)
f794969	347.1248	0.6	discard	1.5-SPSA d2 nozero T=5 lr=1e-2 np=100 (R18b, fewer steps=worse)
f794969	316.3928	0.6	discard	1.5-SPSA d2 nozero T=5 lr=5e-2 np=100 (R18b)
f794969	320.2758	0.6	discard	1.5-SPSA d2 nozero lr=1e-2 np=100 T=20 (R18b)
f794969	323.5845	0.6	discard	1.5-SPSA d2 nozero lr=1e-2 np=100 T=20 (R18b)
2dd9427	0.000000	0.0	crash	1.5-SPSA contrastive d2 lr=1e-2 T=5 (R19, killed early - converged to ln(B))
2dd9427	0.000000	0.0	crash	1.5-SPSA contrastive d1 lr=2e-2 T=5 (R19, converged to ln(B)=3.47)
2dd9427	0.000000	0.0	crash	1.5-SPSA contrastive lr=5e-2 T=5 (R19, converged to ln(B))
88dc702	0.000000	0.0	crash	1.5-SPSA combo d2 lr=1e-2 T=5 (R20, killed - MSE dominates, mean pred)
88dc702	0.000000	0.0	crash	1.5-SPSA rank d2 lr=1e-2 T=5 (R20, killed - MSE dominates)
88dc702	317.4585	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 T=5 denoising (R21 tiny model)
88dc702	317.1324	0.6	discard	1.5-SPSA d1/e64/p16 lr=5e-2 T=5 denoising (R21 tiny)
88dc702	388.7952	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 T=5 contrastive (R21, WORSE than random)
88dc702	317.7661	0.6	discard	1.5-SPSA d1/e128/p8 lr=5e-2 T=5 denoising (R21 small)
88dc702	316.7375	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 np=500 T=5 denoising (R21)
88dc702	316.8497	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 T=5 progressive (R21)
88dc702	0.000000	0.0	crash	1.5-SPSA d1/e64/p16 lr=2e-1 T=5 denoising (R21, FAIL at step 0)
88dc702	317.2984	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 T=5 bs=1 denoising (R21)
aa11224	316.5929	0.6	discard	1.5-SPSA d1/e64/p8 prog T=5 lr=2e-2 Xavier 30min (R19d FID=317 despite -28% loss)
aa11224	256.2836	0.6	keep	1.5-SPSA d1/e64/p8 TEACHER lr=2e-2 Xavier 30min (R19e FIRST BELOW 317! 4053 steps)
aa11224	320.8231	0.6	discard	1.5-SPSA MMD pixel d2 lr=1e-2 T=5 (R22)
aa11224	324.8794	0.6	discard	1.5-SPSA MMD pixel d1 lr=5e-2 T=5 (R22)
aa11224	316.6536	0.6	discard	1.5-SPSA MMD pixel d1/e64/p16 lr=1e-1 T=5 (R22)
aa11224	0.000000	0.0	crash	1.5-SPSA MMD inception d2 lr=1e-2 (R22, InceptionV3 not loaded)
aa11224	321.9420	0.6	discard	1.5-SPSA MMD pixel d2 lr=5e-2 T=5 (R22)
aa11224	321.8084	0.6	discard	1.5-SPSA MMD pixel d2 lr=1e-2 T=10 (R22)
aa11224	364.0508	0.6	discard	1.5-SPSA denoising d2 lr=1e-2 T=5 nozero (R22 control, WORSE than random!)
aa11224	322.2827	0.6	discard	1.5-SPSA MMD pixel d2 lr=1e-2 np=200 T=5 (R22)
eff3d62	294.7312	0.6	keep	1.5-SPSA d1/e64/p16 lr=1e-1 eps=1e-2 T=5 fixed=1 (R24b BEST SPSA! overfit 1 image)
eff3d62	315.8413	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 eps=1e-2 T=5 fixed=32 (R24b)
eff3d62	317.3087	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 eps=1e-2 T=5 fixed=100 (R24b)
eff3d62	317.8949	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 eps=1e-2 T=5 fixed=1000 (R24b)
eff3d62	316.9602	0.6	discard	1.5-SPSA d1/e64/p16 lr=1e-1 eps=1e-2 T=5 no-fixed (R24b control)
eff3d62	316.3943	0.6	discard	1.5-SPSA d1/e64/p16 lr=5e-2 eps=1e-2 T=5 fixed=32 (R24b)
eff3d62	311.1406	0.6	keep	1.5-SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=32 (R24b, FID below 317!)
eff3d62	296.9459	0.6	keep	1.5-SPSA d2/e384 lr=1e-2 eps=1e-3 T=5 fixed=1 (R24b, overfit 1 image)
f9e9651	287.1471	0.6	keep	1.5-SPSA d1/e64/p8 TEACHER lr=2e-2 Xavier 5min 606 steps (R20c)
f9e9651	259.2990	0.6	keep	1.5-SPSA d1/e64/p8 TEACHER lr=5e-2 Xavier 30min 3553 steps (R20d)
f9e9651	303.6224	0.1	discard	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=32 cycle 1h (R25)
f9e9651	0.000000	0.0	crash	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=16 cycle 1h DIVERGED (R25)
f9e9651	265.2612	0.1	keep	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=8 cycle 1h (R25)
f9e9651	265.6616	0.1	keep	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=4 cycle 1h (R25)
f9e9651	252.8260	0.1	keep	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=1 overfit 1h (R25)
f9e9651	315.2428	0.1	discard	SPSA d4/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=64 cycle 1h (R25)
f9e9651	308.3048	0.1	discard	SPSA d4/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=32 cycle 1h (R25)
f9e9651	311.0526	0.1	discard	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=32 cycle progressive 1h (R25)
3e68717	302.6142	0.6	discard	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=5 fixed=32 ALL-AT-ONCE 1h (R26)
3e68717	236.0989	0.6	keep	SPSA d2/e128/p8 lr=5e-2 eps=1e-2 T=2 fixed=32 ALL-AT-ONCE 1h (R26 BEST SPSA!)
6fb8aaf	313.5575	0.6	discard	SPSA d2/e128/p8 lr=5e-2 T=2 SSIM loss curvature fixed=32 all 1h (R29)
6fb8aaf	319.9046	0.6	discard	SPSA d2/e128/p8 lr=5e-2 T=2 FFT spectral loss curvature fixed=32 all 1h (R29)
6fb8aaf	311.7163	0.6	discard	SPSA d2/e128/p8 lr=5e-2 T=2 SSIM+MSE loss curvature fixed=32 all 1h (R29)
6fb8aaf	314.5077	0.6	discard	SPSA d2/e128/p8 lr=5e-2 T=2 multiscale loss curvature fixed=32 all 1h (R29)
6fb8aaf	0.000000	0.0	crash	SPSA d2/e128/p8 lr=5e-2 T=2 direct_fid loss curvature (R29, 5min/step too slow)
6fb8aaf	311.8588	0.6	discard	SPSA d2/e128/p8 lr=5e-2 T=1 SSIM loss curvature fixed=32 all 1h (R29)
6fb8aaf	316.4201	0.6	discard	SPSA d2/e128/p8 lr=5e-2 FFT curriculum T=1→10 curvature fixed=32 all 1h (R29)
6fb8aaf	314.7382	0.6	discard	SPSA d2/e128/p8 lr=5e-2 SSIM curriculum T=1→10 curvature fixed=32 all 1h (R29)
97e2782	313.5575	0.6	discard	SPSA SSIM loss T=2 fixed=32 all (loss flat ~0.997 but FID < random)
97e2782	319.9046	0.6	discard	SPSA FFT spectral loss T=2 fixed=32 all (FFT loss decreases but FID worse)
97e2782	311.7163	0.6	discard	SPSA SSIM+MSE T=2 fixed=32 all (MSE drives learning, SSIM adds guidance)
97e2782	314.5077	0.6	discard	SPSA multiscale MSE T=2 fixed=32 all
97e2782	0.000000	0.0	crash	SPSA direct_fid T=2 fixed=32 all (5 min/step, too slow for inception)
97e2782	311.8588	0.6	discard	SPSA SSIM T=1 fixed=32 all (simpler ODE)
97e2782	316.4201	0.6	discard	SPSA FFT curriculum T=1->10 fixed=32 all
97e2782	314.7382	0.6	discard	SPSA SSIM curriculum T=1->10 fixed=32 all
97e2782	313.5575	0.6	discard	R29 SSIM loss T=2 d2/e128 curvature lr=5e-2 fixed32
97e2782	319.9046	0.6	discard	R29 FFT spectral loss T=2 d2/e128 curvature lr=5e-2 fixed32
97e2782	311.7163	0.6	discard	R29 SSIM+MSE loss T=2 d2/e128 curvature lr=5e-2 fixed32
97e2782	314.5077	0.6	discard	R29 multiscale loss T=2 d2/e128 curvature lr=5e-2 fixed32
97e2782	311.8588	0.6	discard	R29 SSIM loss T=1 d2/e128 curvature lr=5e-2 fixed32
97e2782	316.4201	0.6	discard	R29 FFT curriculum T=1->10 d2/e128 curvature lr=5e-2 fixed32
97e2782	314.7382	0.6	discard	R29 SSIM curriculum T=1->10 d2/e128 curvature lr=5e-2 fixed32
97e2782	0.000000	0.0	crash	R29 direct FID loss T=2 too slow (311s/step)
